year,state,grain-yield,silage-yield
1895,illinois,41.0,
1895,indiana,36.0,
1895,iowa,39.0,
1895,minnesota,30.5,
1895,missouri,37.0,
1895,nebraska,16.5,
1896,illinois,42.0,
1896,indiana,39.5,
1896,iowa,43.0,
1896,minnesota,30.5,
1896,missouri,29.5,
1896,nebraska,37.5,
1897,illinois,34.0,
1897,indiana,30.5,
1897,iowa,33.5,
1897,minnesota,28.0,
1897,missouri,26.0,
1897,nebraska,30.0,
1898,illinois,31.0,
1898,indiana,38.5,
1898,iowa,36.0,
1898,minnesota,30.5,
1898,missouri,30.0,
1898,nebraska,21.0,
1899,illinois,38.8,
1899,indiana,39.8,
1899,iowa,39.1,
1899,minnesota,32.8,
1899,missouri,28.1,
1899,nebraska,28.8,
1900,illinois,40.0,
1900,indiana,41.5,
1900,iowa,45.0,
1900,minnesota,33.0,
1900,missouri,29.5,
1900,nebraska,26.0,
1901,illinois,24.0,
1901,indiana,22.0,
1901,iowa,28.5,
1901,minnesota,27.0,
1901,missouri,10.0,
1901,nebraska,14.0,
1902,illinois,41.0,
1902,indiana,39.0,
1902,iowa,38.0,
1902,minnesota,23.0,
1902,missouri,39.0,
1902,nebraska,32.5,
1903,illinois,35.5,
1903,indiana,35.0,
1903,iowa,32.5,
1903,minnesota,27.5,
1903,missouri,29.5,
1903,nebraska,27.5,
1904,illinois,39.0,
1904,indiana,33.0,
1904,iowa,39.0,
1904,minnesota,25.5,
1904,missouri,26.0,
1904,nebraska,33.0,
1905,illinois,42.0,
1905,indiana,42.0,
1905,iowa,41.5,
1905,minnesota,34.0,
1905,missouri,34.0,
1905,nebraska,34.0,
1906,illinois,39.0,
1906,indiana,41.0,
1906,iowa,45.5,
1906,minnesota,34.0,
1906,missouri,32.5,
1906,nebraska,34.0,
1907,illinois,39.0,
1907,indiana,36.5,
1907,iowa,35.0,
1907,minnesota,27.0,
1907,missouri,31.0,
1907,nebraska,24.0,
1908,illinois,35.0,
1908,indiana,30.5,
1908,iowa,38.0,
1908,minnesota,29.0,
1908,missouri,27.0,
1908,nebraska,27.0,
1909,illinois,38.8,
1909,indiana,39.9,
1909,iowa,37.1,
1909,minnesota,33.9,
1909,missouri,26.9,
1909,nebraska,24.8,
1910,illinois,41.0,
1910,indiana,39.0,
1910,iowa,41.5,
1910,minnesota,32.0,
1910,missouri,33.0,
1910,nebraska,26.0,
1911,illinois,36.0,
1911,indiana,34.5,
1911,iowa,35.5,
1911,minnesota,33.0,
1911,missouri,26.0,
1911,nebraska,21.5,
1912,illinois,40.0,
1912,indiana,39.5,
1912,iowa,46.0,
1912,minnesota,34.0,
1912,missouri,32.0,
1912,nebraska,27.0,
1913,illinois,28.0,
1913,indiana,35.5,
1913,iowa,37.5,
1913,minnesota,38.0,
1913,missouri,17.5,
1913,nebraska,15.0,
1914,illinois,31.0,
1914,indiana,33.0,
1914,iowa,40.5,
1914,minnesota,35.0,
1914,missouri,22.0,
1914,nebraska,24.5,
1915,illinois,38.0,
1915,indiana,38.5,
1915,iowa,32.5,
1915,minnesota,23.0,
1915,missouri,29.5,
1915,nebraska,31.0,
1916,illinois,31.0,
1916,indiana,32.5,
1916,iowa,38.0,
1916,minnesota,33.0,
1916,missouri,19.5,
1916,nebraska,27.0,
1917,illinois,40.0,
1917,indiana,35.5,
1917,iowa,38.5,
1917,minnesota,27.0,
1917,missouri,33.5,
1917,nebraska,27.0,
1918,illinois,36.5,
1918,indiana,35.0,
1918,iowa,37.0,
1918,minnesota,37.0,
1918,missouri,20.0,
1918,nebraska,18.0,
1919,illinois,36.0,7.2
1919,indiana,35.6,6.9
1919,iowa,41.6,7.8
1919,minnesota,35.5,7.8
1919,missouri,26.5,5.0
1919,nebraska,24.0,4.9
1920,illinois,35.0,6.8
1920,indiana,39.5,7.4
1920,iowa,46.0,8.7
1920,minnesota,33.5,7.8
1920,missouri,31.5,5.6
1920,nebraska,33.2,6.4
1921,illinois,35.0,7.3
1921,indiana,36.0,7.0
1921,iowa,43.0,8.5
1921,minnesota,38.5,7.9
1921,missouri,30.5,5.7
1921,nebraska,27.0,5.8
1922,illinois,35.5,7.2
1922,indiana,36.0,6.4
1922,iowa,45.0,9.1
1922,minnesota,29.5,7.3
1922,missouri,28.5,6.4
1922,nebraska,24.0,5.7
1923,illinois,37.5,7.0
1923,indiana,38.0,6.9
1923,iowa,40.5,7.9
1923,minnesota,35.0,7.7
1923,missouri,30.0,5.8
1923,nebraska,32.0,5.5
1924,illinois,33.0,6.5
1924,indiana,28.0,5.6
1924,iowa,28.0,7.1
1924,minnesota,26.5,7.3
1924,missouri,23.5,5.9
1924,nebraska,21.5,5.6
1925,illinois,41.0,7.5
1925,indiana,42.0,7.3
1925,iowa,43.9,8.5
1925,minnesota,36.0,7.3
1925,missouri,27.5,6.9
1925,nebraska,25.0,5.9
1926,illinois,36.0,6.5
1926,indiana,38.0,6.9
1926,iowa,39.0,7.6
1926,minnesota,34.0,7.3
1926,missouri,26.0,6.2
1926,nebraska,15.5,4.5
1927,illinois,32.0,6.3
1927,indiana,31.5,6.2
1927,iowa,35.0,8.1
1927,minnesota,31.0,7.1
1927,missouri,27.0,7.5
1927,nebraska,32.1,6.3
1928,illinois,38.0,7.0
1928,indiana,35.2,6.9
1928,iowa,41.5,8.4
1928,minnesota,35.0,7.6
1928,missouri,27.5,6.2
1928,nebraska,22.0,4.6
1929,illinois,35.5,7.1
1929,indiana,31.3,6.8
1929,iowa,40.2,8.5
1929,minnesota,36.5,7.4
1929,missouri,23.2,5.3
1929,nebraska,25.2,5.0
1930,illinois,27.0,6.5
1930,indiana,28.0,5.8
1930,iowa,34.0,8.0
1930,minnesota,33.0,6.5
1930,missouri,16.0,4.5
1930,nebraska,25.0,5.5
1931,illinois,37.0,7.5
1931,indiana,39.0,8.5
1931,iowa,32.9,7.0
1931,minnesota,25.0,6.0
1931,missouri,26.0,6.3
1931,nebraska,17.0,4.2
1932,illinois,43.0,8.0
1932,indiana,37.5,9.0
1932,iowa,43.0,9.2
1932,minnesota,37.5,7.2
1932,missouri,28.0,6.5
1932,nebraska,25.0,4.2
1933,illinois,27.5,5.5
1933,indiana,29.5,7.0
1933,iowa,40.0,9.0
1933,minnesota,31.0,6.5
1933,missouri,24.0,6.0
1933,nebraska,22.5,4.5
1934,illinois,22.1,4.8
1934,indiana,27.6,6.5
1934,iowa,28.2,6.0
1934,minnesota,24.6,4.0
1934,missouri,9.3,2.7
1934,nebraska,6.2,1.5
1935,illinois,38.5,8.0
1935,indiana,38.0,8.5
1935,iowa,38.0,8.9
1935,minnesota,34.5,7.1
1935,missouri,19.0,4.5
1935,nebraska,13.5,3.0
1936,illinois,24.0,5.4
1936,indiana,25.6,5.5
1936,iowa,20.0,3.5
1936,minnesota,22.0,4.0
1936,missouri,10.5,3.0
1936,nebraska,5.5,1.2
1937,illinois,48.0,7.5
1937,indiana,45.0,8.5
1937,iowa,45.0,8.6
1937,minnesota,37.5,7.5
1937,missouri,27.5,6.3
1937,nebraska,12.0,2.3
1938,illinois,44.0,9.0
1938,indiana,41.0,8.0
1938,iowa,46.0,10.0
1938,minnesota,36.5,8.0
1938,missouri,26.0,6.0
1938,nebraska,15.5,3.4
1939,illinois,51.0,9.6
1939,indiana,50.0,9.4
1939,iowa,52.2,10.4
1939,minnesota,47.0,8.0
1939,missouri,30.3,6.7
1939,nebraska,14.2,2.1
1940,illinois,43.0,8.5
1940,indiana,37.0,7.0
1940,iowa,52.5,10.0
1940,minnesota,41.0,8.0
1940,missouri,31.0,6.9
1940,nebraska,20.5,2.0
1941,illinois,53.0,10.5
1941,indiana,45.0,8.5
1941,iowa,51.0,10.0
1941,minnesota,45.0,8.5
1941,missouri,29.5,6.8
1941,nebraska,24.0,4.3
1942,illinois,54.0,10.0
1942,indiana,54.0,9.5
1942,iowa,60.0,10.5
1942,minnesota,46.0,8.5
1942,missouri,36.0,6.5
1942,nebraska,32.0,4.7
1943,illinois,50.0,9.5
1943,indiana,49.0,8.0
1943,iowa,55.0,10.8
1943,minnesota,42.5,8.2
1943,missouri,31.5,6.0
1943,nebraska,27.0,4.5
1944,illinois,45.4,8.5
1944,indiana,40.1,6.5
1944,iowa,52.5,9.5
1944,minnesota,43.7,7.6
1944,missouri,33.5,6.0
1944,nebraska,33.3,6.2
1945,illinois,46.5,8.0
1945,indiana,53.0,9.0
1945,iowa,44.5,8.7
1945,minnesota,39.0,7.5
1945,missouri,28.5,5.0
1945,nebraska,29.0,5.0
1946,illinois,56.0,9.0
1946,indiana,51.0,8.5
1946,iowa,57.0,10.5
1946,minnesota,45.5,8.3
1946,missouri,37.5,6.5
1946,nebraska,29.5,5.3
1947,illinois,39.5,7.4
1947,indiana,43.0,7.0
1947,iowa,31.0,6.4
1947,minnesota,38.0,7.2
1947,missouri,25.0,5.0
1947,nebraska,20.0,3.8
1948,illinois,61.0,9.5
1948,indiana,57.0,9.0
1948,iowa,60.5,11.0
1948,minnesota,54.0,8.9
1948,missouri,45.0,7.5
1948,nebraska,35.0,5.7
1949,illinois,54.0,10.0
1949,indiana,50.0,9.2
1949,iowa,47.0,10.1
1949,minnesota,44.0,8.5
1949,missouri,39.0,7.6
1949,nebraska,31.1,6.2
1950,illinois,51.0,9.5
1950,indiana,48.5,9.0
1950,iowa,48.5,10.0
1950,minnesota,39.5,7.3
1950,missouri,44.0,7.5
1950,nebraska,36.0,6.5
1951,illinois,55.0,9.5
1951,indiana,53.0,9.0
1951,iowa,43.5,8.5
1951,minnesota,40.5,7.5
1951,missouri,34.0,7.5
1951,nebraska,28.0,5.5
1952,illinois,58.0,10.0
1952,indiana,50.0,9.0
1952,iowa,62.5,11.0
1952,minnesota,52.0,8.3
1952,missouri,41.0,7.5
1952,nebraska,38.0,7.0
1953,illinois,54.0,10.0
1953,indiana,51.5,9.5
1953,iowa,53.0,10.5
1953,minnesota,49.5,8.1
1953,missouri,33.5,6.3
1953,nebraska,29.5,4.5
1954,illinois,50.5,9.5
1954,indiana,55.5,10.0
1954,iowa,54.5,9.5
1954,minnesota,51.5,8.6
1954,missouri,23.0,4.2
1954,nebraska,29.0,5.5
1955,illinois,56.0,10.5
1955,indiana,56.0,11.0
1955,iowa,48.5,9.0
1955,minnesota,50.0,8.8
1955,missouri,40.0,7.5
1955,nebraska,20.0,3.5
1956,illinois,68.0,11.5
1956,indiana,62.0,10.5
1956,iowa,53.5,9.5
1956,minnesota,58.5,9.8
1956,missouri,48.0,8.5
1956,nebraska,23.5,5.0
1957,illinois,64.0,11.5
1957,indiana,59.0,9.5
1957,iowa,62.0,11.0
1957,minnesota,58.0,9.4
1957,missouri,44.0,8.0
1957,nebraska,46.5,8.0
1958,illinois,69.0,11.5
1958,indiana,63.0,10.0
1958,iowa,66.0,11.5
1958,minnesota,56.0,8.6
1958,missouri,54.0,9.0
1958,nebraska,51.0,10.0
1959,illinois,67.0,12.0
1959,indiana,62.5,12.0
1959,iowa,65.0,11.6
1959,minnesota,50.5,8.5
1959,missouri,53.0,9.0
1959,nebraska,48.5,8.5
1960,illinois,68.0,11.0
1960,indiana,68.0,12.0
1960,iowa,63.5,11.5
1960,minnesota,54.0,8.4
1960,missouri,52.0,9.0
1960,nebraska,51.0,9.0
1961,illinois,79.0,14.0
1961,indiana,74.0,14.0
1961,iowa,75.5,13.5
1961,minnesota,64.5,11.0
1961,missouri,62.0,11.0
1961,nebraska,52.0,12.0
1962,illinois,85.0,14.0
1962,indiana,82.0,15.0
1962,iowa,77.0,13.5
1962,minnesota,59.5,9.5
1962,missouri,58.0,9.0
1962,nebraska,60.5,11.0
1963,illinois,87.0,14.5
1963,indiana,87.0,15.0
1963,iowa,80.0,13.5
1963,minnesota,69.0,10.9
1963,missouri,61.0,10.0
1963,nebraska,57.0,9.5
1964,illinois,80.0,13.0
1964,indiana,72.0,13.7
1964,iowa,77.5,12.5
1964,minnesota,58.0,8.6
1964,missouri,53.0,9.0
1964,nebraska,54.0,9.5
1965,illinois,94.0,15.0
1965,indiana,94.0,14.5
1965,iowa,82.0,13.5
1965,minnesota,61.0,9.0
1965,missouri,75.0,11.5
1965,nebraska,70.0,11.0
1966,illinois,82.0,13.0
1966,indiana,80.0,13.5
1966,iowa,89.0,14.5
1966,minnesota,76.0,12.3
1966,missouri,64.0,10.0
1966,nebraska,80.0,13.0
1967,illinois,104.0,15.5
1967,indiana,86.0,13.0
1967,iowa,88.5,13.5
1967,minnesota,72.0,9.0
1967,missouri,69.0,11.0
1967,nebraska,74.0,11.0
1968,illinois,90.0,15.0
1968,indiana,88.0,15.0
1968,iowa,93.0,14.5
1968,minnesota,82.0,11.0
1968,missouri,83.0,12.0
1968,nebraska,74.0,9.5
1969,illinois,102.0,14.5
1969,indiana,100.0,16.0
1969,iowa,99.0,15.0
1969,minnesota,87.0,10.7
1969,missouri,68.0,11.0
1969,nebraska,94.0,13.5
1970,illinois,74.0,12.0
1970,indiana,76.0,13.0
1970,iowa,86.0,13.0
1970,minnesota,85.0,10.6
1970,missouri,61.0,9.5
1970,nebraska,76.0,9.0
1971,illinois,106.0,15.0
1971,indiana,101.0,15.5
1971,iowa,102.0,14.5
1971,minnesota,83.0,11.5
1971,missouri,88.0,12.0
1971,nebraska,85.0,12.0
1972,illinois,110.0,15.5
1972,indiana,104.0,16.0
1972,iowa,116.0,16.0
1972,minnesota,93.0,11.8
1972,missouri,91.0,12.0
1972,nebraska,104.0,15.0
1973,illinois,103.0,14.5
1973,indiana,102.0,15.2
1973,iowa,107.0,15.5
1973,minnesota,93.0,12.9
1973,missouri,88.0,12.0
1973,nebraska,94.0,14.5
1974,illinois,82.0,11.5
1974,indiana,73.0,11.5
1974,iowa,80.0,11.5
1974,minnesota,62.0,9.7
1974,missouri,54.0,9.0
1974,nebraska,70.0,8.0
1975,illinois,116.0,16.5
1975,indiana,98.0,15.5
1975,iowa,90.0,13.5
1975,minnesota,70.0,9.3
1975,missouri,63.0,10.0
1975,nebraska,85.0,12.0
1976,illinois,107.0,13.5
1976,indiana,110.0,17.5
1976,iowa,91.0,12.5
1976,minnesota,59.0,6.9
1976,missouri,61.0,9.5
1976,nebraska,85.0,9.0
1977,illinois,105.0,14.5
1977,indiana,102.0,15.0
1977,iowa,86.0,12.5
1977,minnesota,100.0,13.0
1977,missouri,76.0,11.0
1977,nebraska,99.0,13.0
1978,illinois,111.0,15.5
1978,indiana,108.0,15.0
1978,iowa,115.0,16.0
1978,minnesota,104.0,12.5
1978,missouri,87.0,13.0
1978,nebraska,113.0,15.0
1979,illinois,127.0,16.0
1979,indiana,112.0,16.5
1979,iowa,127.0,17.5
1979,minnesota,100.0,13.5
1979,missouri,103.0,13.5
1979,nebraska,115.0,15.5
1980,illinois,93.0,14.0
1980,indiana,96.0,14.5
1980,iowa,110.0,14.8
1980,minnesota,97.0,12.0
1980,missouri,53.0,7.5
1980,nebraska,85.0,11.5
1981,illinois,126.0,16.0
1981,indiana,108.0,15.0
1981,iowa,125.0,16.5
1981,minnesota,110.0,13.5
1981,missouri,107.0,14.0
1981,nebraska,115.0,16.0
1982,illinois,131.0,16.5
1982,indiana,126.0,17.0
1982,iowa,120.0,15.8
1982,minnesota,113.0,13.5
1982,missouri,101.0,13.0
1982,nebraska,110.0,14.5
1983,illinois,79.0,11.5
1983,indiana,73.0,11.0
1983,iowa,87.0,12.0
1983,minnesota,84.0,11.5
1983,missouri,51.0,8.0
1983,nebraska,97.0,14.0
1984,illinois,114.0,14.0
1984,indiana,117.0,16.0
1984,iowa,112.0,15.0
1984,minnesota,107.0,12.0
1984,missouri,80.0,11.0
1984,nebraska,116.0,15.0
1985,illinois,135.0,16.0
1985,indiana,123.0,16.0
1985,iowa,126.0,16.0
1985,minnesota,115.0,12.5
1985,missouri,110.0,13.5
1985,nebraska,128.0,16.5
1986,illinois,135.0,16.0
1986,indiana,122.0,17.0
1986,iowa,135.0,17.0
1986,minnesota,122.0,13.5
1986,missouri,116.0,13.5
1986,nebraska,128.0,15.5
1987,illinois,132.0,15.5
1987,indiana,135.0,18.0
1987,iowa,130.0,16.0
1987,minnesota,127.0,13.5
1987,missouri,113.0,14.0
1987,nebraska,131.0,17.0
1988,illinois,73.0,7.5
1988,indiana,83.0,11.5
1988,iowa,84.0,9.0
1988,minnesota,74.0,6.2
1988,missouri,76.0,8.0
1988,nebraska,124.0,14.0
1989,illinois,123.0,14.0
1989,indiana,133.0,16.5
1989,iowa,118.0,13.5
1989,minnesota,125.0,10.5
1989,missouri,96.0,12.5
1989,nebraska,121.0,12.5
1990,illinois,127.0,14.0
1990,indiana,129.0,17.0
1990,iowa,126.0,15.5
1990,minnesota,124.0,12.0
1990,missouri,105.0,13.0
1990,nebraska,128.0,13.5
1991,illinois,107.0,13.0
1991,indiana,92.0,13.0
1991,iowa,117.0,15.0
1991,minnesota,120.0,13.5
1991,missouri,97.0,10.0
1991,nebraska,127.0,12.5
1992,illinois,149.0,15.0
1992,indiana,147.0,19.0
1992,iowa,147.0,17.5
1992,minnesota,114.0,12.0
1992,missouri,135.0,14.0
1992,nebraska,135.0,16.0
1993,illinois,130.0,12.0
1993,indiana,132.0,16.0
1993,iowa,80.0,11.0
1993,minnesota,70.0,8.5
1993,missouri,90.0,8.5
1993,nebraska,104.0,12.5
1994,illinois,156.0,15.0
1994,indiana,144.0,17.0
1994,iowa,152.0,18.0
1994,minnesota,142.0,13.0
1994,missouri,118.0,13.0
1994,nebraska,139.0,16.0
1995,illinois,113.0,15.0
1995,indiana,113.0,15.0
1995,iowa,123.0,15.0
1995,minnesota,119.0,12.0
1995,missouri,102.0,10.0
1995,nebraska,111.0,12.5
1996,illinois,136.0,14.0
1996,indiana,123.0,18.0
1996,iowa,138.0,18.0
1996,minnesota,125.0,13.0
1996,missouri,134.0,15.0
1996,nebraska,143.0,16.5
1997,illinois,129.0,16.5
1997,indiana,122.0,16.0
1997,iowa,138.0,18.0
1997,minnesota,132.0,15.0
1997,missouri,115.0,14.0
1997,nebraska,132.0,15.5
1998,illinois,141.0,15.0
1998,indiana,137.0,17.0
1998,iowa,145.0,16.5
1998,minnesota,153.0,16.0
1998,missouri,114.0,12.5
1998,nebraska,145.0,17.0
1999,illinois,140.0,17.0
1999,indiana,132.0,16.0
1999,iowa,149.0,18.0
1999,minnesota,150.0,16.0
1999,missouri,97.0,9.5
1999,nebraska,139.0,16.0
2000,illinois,151.0,16.0
2000,indiana,146.0,19.0
2000,iowa,144.0,17.0
2000,minnesota,145.0,16.0
2000,missouri,143.0,15.0
2000,nebraska,126.0,14.0
2001,illinois,152.0,16.0
2001,indiana,156.0,19.0
2001,iowa,146.0,18.5
2001,minnesota,130.0,14.0
2001,missouri,133.0,16.0
2001,nebraska,147.0,17.0
2002,illinois,135.0,15.0
2002,indiana,121.0,16.0
2002,iowa,163.0,19.0
2002,minnesota,157.0,17.0
2002,missouri,105.0,13.0
2002,nebraska,128.0,10.5
2003,illinois,164.0,15.0
2003,indiana,146.0,19.0
2003,iowa,157.0,20.0
2003,minnesota,146.0,14.0
2003,missouri,108.0,10.5
2003,nebraska,146.0,13.0
2004,illinois,180.0,20.0
2004,indiana,168.0,20.5
2004,iowa,181.0,19.5
2004,minnesota,159.0,16.0
2004,missouri,162.0,14.5
2004,nebraska,166.0,16.5
2005,illinois,143.0,15.0
2005,indiana,154.0,20.0
2005,iowa,173.0,18.5
2005,minnesota,174.0,16.0
2005,missouri,111.0,13.0
2005,nebraska,154.0,15.5
2006,illinois,163.0,18.0
2006,indiana,157.0,21.0
2006,iowa,166.0,18.5
2006,minnesota,161.0,15.0
2006,missouri,138.0,13.0
2006,nebraska,152.0,15.0
2007,illinois,175.0,18.0
2007,indiana,154.0,18.5
2007,iowa,171.0,19.5
2007,minnesota,146.0,13.5
2007,missouri,140.0,15.0
2007,nebraska,160.0,17.0
2008,illinois,179.0,17.0
2008,indiana,160.0,20.0
2008,iowa,171.0,20.5
2008,minnesota,162.0,16.0
2008,missouri,144.0,14.0
2008,nebraska,163.0,17.0
2009,illinois,174.0,19.0
2009,indiana,171.0,20.0
2009,iowa,181.0,22.0
2009,minnesota,174.0,20.0
2009,missouri,153.0,16.0
2009,nebraska,179.0,18.0
2010,illinois,157.0,18.0
2010,indiana,157.0,21.0
2010,iowa,165.0,21.5
2010,minnesota,177.0,20.0
2010,missouri,123.0,15.0
2010,nebraska,166.0,18.5
2011,illinois,157.0,21.0
2011,indiana,146.0,20.0
2011,iowa,172.0,20.5
2011,minnesota,155.0,18.0
2011,missouri,114.0,10.0
2011,nebraska,160.0,18.0
2012,illinois,105.0,11.0
2012,indiana,99.0,13.0
2012,iowa,137.0,15.0
2012,minnesota,165.0,18.0
2012,missouri,75.0,8.0
2012,nebraska,142.0,10.0
2013,illinois,178.0,19.0
2013,indiana,177.0,23.0
2013,iowa,164.0,19.0
2013,minnesota,159.0,16.5
2013,missouri,136.0,14.0
2013,nebraska,169.0,16.0
2014,illinois,200.0,22.0
2014,indiana,188.0,22.0
2014,iowa,178.0,20.0
2014,minnesota,156.0,18.0
2014,missouri,186.0,18.0
2014,nebraska,179.0,21.0
2015,illinois,175.0,20.0
2015,indiana,150.0,17.0
2015,iowa,192.0,24.0
2015,minnesota,188.0,21.5
2015,missouri,142.0,14.0
2015,nebraska,185.0,20.0
2016,illinois,197.0,21.0
2016,indiana,173.0,22.0
2016,iowa,203.0,24.0
2016,minnesota,193.0,21.5
2016,missouri,163.0,15.0
2016,nebraska,178.0,19.5
2017,illinois,201.0,17.0
2017,indiana,180.0,21.0
2017,iowa,202.0,21.0
2017,minnesota,194.0,21.5
2017,missouri,170.0,15.0
2017,nebraska,181.0,19.5
2018,illinois,210.0,20.0
2018,indiana,189.0,21.0
2018,iowa,196.0,20.5
2018,minnesota,182.0,22.0
2018,missouri,140.0,13.0
2018,nebraska,192.0,21.0
2019,illinois,181.0,20.0
2019,indiana,169.0,20.0
2019,iowa,198.0,22.0
2019,minnesota,174.0,19.0
2019,missouri,155.0,16.0
2019,nebraska,182.0,23.0
2020,illinois,191.0,20.0
2020,indiana,187.0,21.0
2020,iowa,177.0,20.5
2020,minnesota,191.0,23.0
2020,missouri,170.0,17.0
2020,nebraska,180.0,19.0
2021,illinois,202.0,20.0
2021,indiana,195.0,22.0
2021,iowa,204.0,21.0
2021,minnesota,177.0,19.0
2021,missouri,159.0,15.0
2021,nebraska,194.0,19.5
2022,illinois,214.0,23.0
2022,indiana,190.0,22.0
2022,iowa,200.0,21.0
2022,minnesota,195.0,21.5
2022,missouri,161.0,11.0
2022,nebraska,165.0,12.5
2023,illinois,206.0,20.0
2023,indiana,203.0,22.0
2023,iowa,201.0,20.0
2023,minnesota,185.0,18.5
2023,missouri,153.0,14.0
2023,nebraska,182.0,17.0
2024,illinois,222.0,
2024,indiana,202.0,
2024,iowa,214.0,
2024,minnesota,183.0,
2024,missouri,185.0,
2024,nebraska,196.0,
